code,generic_name,brand_synth,therapeutic_class,used_for,indication,form,strength,strength_unit,route,dose_amount,dose_unit,frequency,scheduled_times,directions,warnings,side_effects,contraindications,storage,prn,prn_reason,quantity,refills,ndc_synth,rx_otc
SYNTH-RX-0001,levotiracetam,Keppraline-TEST,anticonvulsant,seizure control,Adjunct for simulated partial-onset seizures.,tablet,500,mg,PO,1,tablet,BID,"08:00,20:00",Take 1 tablet by mouth twice daily with water.,Do not stop abruptly in training scenarios.,"Irritability, somnolence (simulated).",Known hypersensitivity to this training compound.,"Room temperature 20–25°C, dry.",False,,60,5,99999-0001-30,Rx
SYNTH-RX-0002,lamotigene,Lamictest,anticonvulsant / mood stabilizer,seizure and mood stabilization,Simulated maintenance for bipolar-spectrum and seizure labs.,tablet,100,mg,PO,1,tablet,BID,"08:00,20:00",Take 1 tablet by mouth twice daily.,Titrate slowly in training protocols.,Rash (training flag — hold and notify).,Known hypersensitivity to this training compound.,"Room temperature 20–25°C, dry.",False,,60,5,99999-0002-60,Rx
SYNTH-RX-0003,sertraloxine,Zolofake,SSRI,mood / anxiety,Simulated major depressive or anxiety disorder.,tablet,50,mg,PO,1,tablet,daily,08:00,Take 1 tablet by mouth every morning.,Training product only — not for human use.,"Nausea, insomnia (simulated).",Known hypersensitivity to this training compound.,"Room temperature 20–25°C, dry.",False,,30,5,99999-0003-30,Rx
SYNTH-RX-0004,valproexine,Depakote-TEST,anticonvulsant,seizure / mood,Simulated mixed seizure and mood-stabilizer labs.,delayed-release tablet,250,mg,PO,1,tablet,BID,"08:00,20:00",Swallow whole. Do not crush.,Monitor simulated LFTs in training notes.,"Drowsiness, GI upset (simulated).",Known hypersensitivity to this training compound.,"Room temperature 20–25°C, dry.",False,,60,5,99999-0004-60,Rx
SYNTH-RX-0005,risperidole,RisperTEST,atypical antipsychotic,behavioral support,Simulated irritability associated with developmental disability.,tablet,1,mg,PO,1,tablet,BID,"08:00,20:00",Take 1 tablet by mouth twice daily.,Fall-risk training flag.,"Drowsiness, GI upset (simulated).",Known hypersensitivity to this training compound.,"Room temperature 20–25°C, dry.",False,,60,5,99999-0005-60,Rx
SYNTH-RX-0006,olanzipine,ZypreTEST,atypical antipsychotic,mood / psychosis training,Simulated schizophrenia-spectrum or bipolar maintenance.,tablet,5,mg,PO,1,tablet,QHS,20:00,Take 1 tablet by mouth at bedtime.,Training product only — not for human use.,"Weight gain, sedation (simulated).",Known hypersensitivity to this training compound.,"Room temperature 20–25°C, dry.",False,,30,5,99999-0006-30,Rx
SYNTH-RX-0007,quetiapine-sim,SeroTEST,atypical antipsychotic,mood / sleep training,Simulated bipolar depression adjunct or insomnia lab.,tablet,25,mg,PO,1,tablet,QHS,20:00,Take 1 tablet by mouth at bedtime.,Training product only — not for human use.,"Drowsiness, GI upset (simulated).",Known hypersensitivity to this training compound.,"Room temperature 20–25°C, dry.",False,,30,5,99999-0007-30,Rx
SYNTH-RX-0008,aripiprazim,AbiliTEST,atypical antipsychotic,mood / irritability,Simulated adjunct for irritability.,tablet,2,mg,PO,1,tablet,daily,08:00,Take 1 tablet by mouth every morning.,Training product only — not for human use.,"Drowsiness, GI upset (simulated).",Known hypersensitivity to this training compound.,"Room temperature 20–25°C, dry.",False,,30,5,99999-0008-30,Rx
SYNTH-RX-0009,metformex,Glucophage-TEST,biguanide,blood sugar,Simulated type 2 diabetes mellitus.,tablet,500,mg,PO,1,tablet,BID,"08:00,20:00",Take 1 tablet by mouth twice daily with meals.,Hold if simulated NPO / GI illness protocol.,GI upset (simulated).,Known hypersensitivity to this training compound.,"Room temperature 20–25°C, dry.",False,,60,5,99999-0009-60,Rx
SYNTH-RX-0010,glipizide-sim,Glucotest,sulfonylurea,blood sugar,Simulated type 2 diabetes.,tablet,5,mg,PO,1,tablet,daily,08:00,Take 1 tablet by mouth 30 minutes before breakfast.,Hypoglycemia training flag.,"Drowsiness, GI upset (simulated).",Known hypersensitivity to this training compound.,"Room temperature 20–25°C, dry.",False,,30,5,99999-0010-30,Rx
SYNTH-RX-0011,lisinoprate,Prinivil-TEST,ACE inhibitor,blood pressure,Simulated hypertension.,tablet,10,mg,PO,1,tablet,daily,08:00,Take 1 tablet by mouth every morning.,Check BP before dose in training MAR.,"Drowsiness, GI upset (simulated).",Known hypersensitivity to this training compound.,"Room temperature 20–25°C, dry.",False,,30,5,99999-0011-30,Rx
